smiles,model_name,mol_idx,descriptor:MW,descriptor:nHeavyAtom,descriptor:TopoPSA,descriptor:SLogP,descriptor:nRot,descriptor:nRing
c1ccc(C)c(C(C)Nc2cccc(C(=O)N3CCOCC3)c2C)c1,MOSES sample,1204,338.451,25,41.57,3.94894,4,3
c1(nc(cs1)Cn1ncc(-c2ccccc2)c1)CC,MOSES sample,1205,269.373,19,30.71,3.6173,4,3
CC(C)c1nnc2CN(C(CCOc3ccc(C)c(C)c3)=O)CCn12,MOSES sample,1206,342.443,25,60.25,2.82964,5,3
c1c(ccc2NC(=O)CCc21)C(NC1(CCCCC1)C#N)=O,MOSES sample,1207,297.358,22,81.99,2.52758,2,3
CN(C(=O)CCNC(c1c(OC)cc(OC)cc1)=O)C,MOSES sample,1208,280.324,20,67.87,0.9119,6,1
N(c1c(ccc(Cl)c1)Cl)C(N1CCCC(C(OC)=O)C1)=O,MOSES sample,1209,331.199,21,58.64,3.4103,2,2
N(C1CCc2c1cccc2)C(=O)c1c2ccccc2[nH]n1,MOSES sample,1210,277.327,21,57.78,2.9802,2,4
O=C(CCc1nc(Cc2ccccc2)no1)NCc1ccccn1,MOSES sample,1211,322.368,24,80.91,2.3044,7,3
c1c(onc1-c1ccccc1)C(=O)N(C)Cc1cn(C)nc1,MOSES sample,1212,296.33,22,64.16,2.3473,4,3
N1(CC(C#N)(C)C)CCN(C(=O)c2cc(ccc2F)C)CC1,MOSES sample,1213,303.381,22,47.34,2.4417,3,2
N(CC)(C(=O)C1CN(C(C1)=O)C1CCCC1)CC,MOSES sample,1214,252.358,18,40.62,1.6459,4,2
n1n(c2ccc(C(=O)NCC3OCCC3)cc2n1)CCC,MOSES sample,1215,288.351,21,69.04,1.7501,5,3
c1c2c(nc(C(=O)Nc3cc(c(cc3)C)F)cn2)ccc1,MOSES sample,1216,281.29,21,54.88,3.32962,2,3
c1(C)c(nc(s1)NC(=O)c1scnc1C1CC1)CC,MOSES sample,1217,293.417,19,54.88,3.60012,4,3
O=S(=O)(C1CN(C(=O)C(C)(C)C)C1)NC1CCC(C)CC1,MOSES sample,1218,316.467,21,66.48,1.7414,3,2
CNc1ncnc(Nc2nc3c(C)cccc3s2)c1N,MOSES sample,1219,286.364,20,88.75,2.76222,3,3
O=C(OCC)c1c2ncn(c(=O)c2[nH]c1)C(C)Cc1ccccc1,MOSES sample,1220,325.368,24,76.98,2.705,5,3
COCC(C)NC(=O)C1CC(=O)N(c2ccc(F)c(Cl)c2)C1,MOSES sample,1221,328.771,22,58.64,1.9831,5,2
c1cc(CC)sc1S(N(CCC(F)(F)F)C)(=O)=O,MOSES sample,1222,301.355,18,37.38,2.8834,5,1
CCn1cc(NC(=O)c2cc3c(C)cc(C)cc3[nH]2)ccc1=O,MOSES sample,1223,309.369,23,66.89,3.21864,3,3
N(C(CNC(=O)C(C)(C)C)=O)c1onc(-c2ccccc2)c1,MOSES sample,1224,301.346,22,84.23,2.4424,4,2
c1cccc(NC(N(C)Cc2cccs2)=O)c1OCC,MOSES sample,1225,290.388,20,41.57,3.8107,5,2
c1(C)[nH]c(c(C)c1C(OCC)=O)C(NC(CC)CC)=O,MOSES sample,1226,280.368,20,71.19,2.72664,6,1
c1(ccc(Cl)cc1)N1CC(C(=O)N(CCCC)C)CC1=O,MOSES sample,1227,308.809,21,40.62,2.9514,5,2
c1ccc(NC(c2c(ccs2)NC(c2sccc2)=O)=O)cc1C#N,MOSES sample,1228,353.428,24,81.99,4.18588,4,3
CCCCOCC(Nc1ccc(C(NC)=O)cc1)=O,MOSES sample,1229,264.325,19,67.43,1.8014,7,1
c1cccc(c1)NC(Nc1sc2C(CCCc2n1)=O)=O,MOSES sample,1230,287.344,20,71.09,3.3061,2,3
CC(NS(=O)(=O)c1ccc2c(c1)CCC(=O)N2)c1cccs1,MOSES sample,1231,336.438,22,75.27,2.6723,4,3
Clc1cccc(c1)CNc1cc(OCCOC)ncn1,MOSES sample,1232,293.754,20,56.27,2.7673,7,2
n1c(c(ncc1)-n1nccc1)C1N(C(NCC(C)C)=O)CCC1,MOSES sample,1233,314.393,23,75.94,2.1648,4,3
O=C(c1ccco1)N1CCCC1c1ccccc1Nc1ncccn1,MOSES sample,1234,334.379,25,71.26,3.7905,4,4
O=C(C)c1c([nH]c(C(=O)NCc2ccccc2C)c1C)C,MOSES sample,1235,284.359,21,61.96,3.07256,4,2
OC(CNC(Nc1c(OC)ccc(Br)c1)=O)C,MOSES sample,1236,303.156,17,70.59,1.96,4,1
C1C(C)OC(CN1CCCNC(=O)NCCOC)C,MOSES sample,1237,273.377,19,62.83,0.4313,7,1
C1(=Nc2c(c(-c3cc(C)cc(C)c3OC)c1C#N)CCC#N)N,MOSES sample,1238,,,,,,
C1CC1N(c1c(N)cc(F)cc1)CCCOCC,MOSES sample,1239,252.333,18,38.49,2.8033,7,2
c1cc(NC(=O)N(C)CCOc2ccccc2)cnc1-n1ncnc1,MOSES sample,1240,338.371,25,85.17,2.205,6,3
c1c(F)cc(c(C)c1)NC(C(Oc1ccccc1)C)=O,MOSES sample,1241,273.307,20,38.33,3.54012,4,2
c1c(C(=O)N(C)C(C)C)ccc(NC(=O)c2ccccc2COC)c1,MOSES sample,1242,340.423,25,58.64,3.5657,6,2
C(C)(c1cccc(c1)OCC(F)(F)F)NC(c1cccnc1)=O,MOSES sample,1243,324.302,23,51.22,3.5137,5,2
Nc1n(nnc1S(=O)(CCC)=O)-c1nonc1N,MOSES sample,1244,273.278,18,155.81,-1.0016,4,2
N1C(COCC1)c1nc(SC(C(=O)OC)C)[nH]n1,MOSES sample,1245,272.33,18,89.13,0.1192,4,2
C1N(CCCCC1)C(c1cc(OC)c(c(c1)Cl)OC(C)=O)=O,MOSES sample,1246,325.792,22,55.84,3.2901,3,2
N(c1c(C(C)=O)cccc1)C(CCCSc1ccccc1)=O,MOSES sample,1247,313.422,22,46.17,4.4002,7,2
CCOC(=O)c1c(NC(=O)c2cc3ccccn3n2)sc(C)c1C,MOSES sample,1248,343.408,24,72.7,3.44164,4,3
c1(Cl)cc(C)c(OCc2c(CO)nnn2CC)cc1,MOSES sample,1249,281.743,19,60.17,2.33112,5,2
C1(CC(CN1C)C(=O)N1CC(c2nc(no2)C)CCC1)=O,MOSES sample,1250,292.339,21,79.54,0.56232,2,3
Cc1nc(C(C)(C)NC(COc2ccccc2OCC)=O)sc1,MOSES sample,1251,334.441,23,60.45,3.28052,7,2
c1cc(=NC(c2c(C)nc(o2)CC)=O)n(Cc2ccccc2)cc1,MOSES sample,1252,321.38,24,60.39,3.13632,4,3
CC1CN(CCCNC(=O)c2ccc(F)cc2Cl)CC(C)O1,MOSES sample,1253,328.815,22,41.57,2.7082,5,2
c1cc(C(=O)N(C)C)ccc1NC(=O)c1c2cccnc2ccc1,MOSES sample,1254,319.364,24,62.3,3.1889,3,3
N(C(Cc1c(noc1C)C)=O)C(C(=O)N)COC,MOSES sample,1255,255.274,18,107.45,-0.54956,6,1
C(=O)(CCc1ccccc1F)N(C)Cc1c(C)n(CC)nc1C,MOSES sample,1256,317.408,23,38.13,3.25014,6,2
N(CCC)C(CN(S(c1cc(c(OC)cc1C)C)(=O)=O)C)=O,MOSES sample,1257,328.434,22,75.71,1.45874,7,1
COc1cc(C2NCCc3c2ccc2cc[nH]c32)ccn1,MOSES sample,1258,279.343,21,49.94,2.8066,2,4
Cn1ccc(cc1=O)C(=O)N1CCC2(CC1)C(CCCC2)=O,MOSES sample,1259,302.374,22,59.38,1.7508,1,3
c12n(c(nn1)C)nc(-c1n(C)nc(C)c1Br)s2,MOSES sample,1260,313.184,17,60.9,1.96564,1,3
CCN(Cc1ccccc1Cl)S(=O)(=O)N(CC)CC,MOSES sample,1261,304.843,19,40.62,2.7485,7,1
O=C(CSc1nncn1-c1ccccc1)c1ccc2c(c1)CCCC2,MOSES sample,1262,349.459,25,47.78,4.1211,5,4
n1(c(c2c(c3ccccc3o2)nc1)=O)-c1c(Cl)cccc1,MOSES sample,1263,296.713,21,48.03,3.7853,1,4
Cn1c(SCCC(=O)Nc2ccc(Cl)cc2)nnc1C1CC1,MOSES sample,1264,336.848,22,59.81,3.4668,6,3
c1ncc(cc1C)C(N1CCN(C(C)COC)CC1)=O,MOSES sample,1265,277.368,20,45.67,1.18272,4,2
N#Cc1c(COc2c(cccc2)OC)n(-c2ccc(Cl)cc2)nn1,MOSES sample,1266,340.77,24,72.96,3.37998,5,3
C(COC)OC(C)C(=O)N=c1sccn1Cc1ccccc1,MOSES sample,1267,320.414,22,52.82,2.0767,7,2
c1(C(=O)Nc2sc(c(n2)C)C(OC)=O)nc(C)sc1,MOSES sample,1268,297.361,19,81.18,2.25534,3,2
Cc1nnc(C)c2c(C)n(CC(=O)NCc3ccco3)c(C)c12,MOSES sample,1269,312.373,23,72.95,2.57438,4,3
C(=O)(NC(C)C)c1nc(ccc1)C(NC(C)c1cnn(c1)C)=O,MOSES sample,1270,315.377,23,88.91,1.4443,5,2
C1(c2oc(nn2)CNc2ccc(C(NC(C)C)=O)c(c2)C)CC1,MOSES sample,1271,314.389,23,80.05,3.00572,6,3
O=S(NCC#Cc1cc(ccc1)Cl)(c1sccc1)=O,MOSES sample,1272,311.815,19,46.17,2.7315,3,2
CN1C(=O)C(c2c1ccc(c2)C(N1CC(=O)NCC1)C)(C)C,MOSES sample,1273,301.39,22,52.65,1.4334,2,3
O1CCN(c2cncc(c2)Br)CC1,MOSES sample,1274,243.104,13,25.36,1.6807,1,2
CCNS(=O)(=O)c1ccc(CC(=O)OC)cc1,MOSES sample,1275,257.311,17,72.47,0.7003,5,1
C(c1ccc(C2N(C(NC3CCCCNC3=O)=O)CCC2)cc1)#N,MOSES sample,1276,326.4,24,85.23,2.07348,2,3
O=S(=O)(Oc1cccc(c1)C(NC)=O)c1cc(OC)ccc1,MOSES sample,1277,321.354,22,81.7,1.8225,5,2
Brc1cc(c(cc1OC)OC)NC(C)=O,MOSES sample,1278,274.114,15,47.56,2.4247,3,1
c1cc(ccc1Oc1ncccn1)NC(=O)c1cccc(OC)c1,MOSES sample,1279,321.336,24,73.34,3.5298,5,3
c1(OC)cc(ccc1CCC(Nc1cn[nH]c1)=O)OC,MOSES sample,1280,275.308,20,76.24,1.9982,6,2
COc1cccc2c1OCC(CNC(=O)CCc1ccccn1)C2,MOSES sample,1281,326.396,24,60.45,2.3903,6,3
c1(cc(no1)C)C(=O)N1CCN(CC1)c1cccc(Cl)c1,MOSES sample,1282,305.765,21,49.58,2.59882,2,3
CNC(=O)C1CCCN(c2nc(C(F)(F)F)cc(=O)[nH]2)C1,MOSES sample,1283,304.272,21,78.09,0.7511,2,2
c1cccc2c1CCN(C2)C(=O)C1CCCN(C(=O)CCC)C1,MOSES sample,1284,314.429,23,40.62,2.61,3,3
c12ncc(c(=O)n1c(C)ccc2)C(NC1CC(CCC1)C(F)(F)F)=O,MOSES sample,1285,353.344,25,63.47,2.85382,2,3
C(OC1CCCCC1C#N)(c1ccc(cc1)-n1ccnn1)=O,MOSES sample,1286,296.33,22,80.8,2.50648,3,3
c12CN(C(C(C)NS(=O)(C)=O)=O)CCn1cc(n2)C(=O)N,MOSES sample,1287,315.355,21,127.39,-1.7381,4,2
n1c(NC(NCCSc2cn[nH]n2)=O)sc(n1)C,MOSES sample,1288,285.358,18,108.48,0.87842,5,2
C1(CC1)N(C(=O)CNC(=O)c1cccs1)Cc1cscc1,MOSES sample,1289,320.439,21,49.41,2.7306,6,3
c1c(cc(CC(C(N2CC(CCC2)(CO)O)=O)C)cc1)Cl,MOSES sample,1290,311.809,21,60.77,1.8644,4,2
c1cc(O)cc(NC(=O)c2cccc(c2)N(C)C)c1,MOSES sample,1291,256.305,19,52.57,2.7105,3,2
c1(CN2CCN(CC2)c2[nH]c(C)c(C)c(C)n2)n2cccnc2nc1,MOSES sample,1292,,,,,,
C(CC(=O)NCc1ncccc1)c1c(onc1C)C,MOSES sample,1293,259.309,19,68.02,1.93544,5,2
n1oc(C)c(c1C)C(C#N)Cc1c(OC)cc(cc1)OC,MOSES sample,1294,286.331,21,68.28,3.15852,5,2
c1ccsc1CC(N1CC(Cn2ncnc2)CCC1)=O,MOSES sample,1295,290.392,20,51.02,1.8209,4,3
N(C(=O)CNC(c1sccc1)=O)CCCN1CCOCC1,MOSES sample,1296,311.407,21,70.67,0.3164,7,2
n1n(C2CN(C2)c2ncc(c(n2)C)C(C)=O)cc(c1)C,MOSES sample,1297,271.324,20,63.91,1.55384,3,3
C(CNC(c1ccc2c(c1)n(cc2)C)=O)n1c2ccccc2nc1,MOSES sample,1298,318.38,24,51.85,2.958,4,4
N(Cc1ccc(cc1)C(=O)NCCC(O)C(C)(C)C)C(=O)C,MOSES sample,1299,306.406,22,78.43,1.8496,6,1
C1(Cc2sc3ncn4nnnc4c3c2CC1)CCC,MOSES sample,1300,273.365,19,55.97,2.639,2,4
c1c(OCC(=O)NCCn2nc(cc2)-c2ccccn2)cccc1,MOSES sample,1301,322.368,24,69.04,2.1403,7,3
CC(C)(C)OC(=O)NCCNC(=O)c1ccc2ncsc2c1,MOSES sample,1302,321.402,22,80.32,2.5508,4,2
COC(=O)c1ccc(NC(=O)CSc2nc3ccccc3o2)cc1,MOSES sample,1303,342.376,24,81.43,3.3452,5,3
C1CN(CCC1)C(=O)C1CN(C1)S(=O)(c1nc(n(C)c1)C)=O,MOSES sample,1304,326.422,22,75.51,0.36152,3,3
c1(nc(-c2ccc3[nH]cc(c3c2)CC)no1)-c1nc[nH]n1,MOSES sample,1305,280.291,21,96.28,2.5654,3,4
C(=O)(Nc1ccc(C(=O)OC)cc1)C(CC(=O)c1ccccc1)C,MOSES sample,1306,325.364,24,72.47,3.3208,6,2
c1c2c(oc(cc2CC(=O)NCc2ncc[nH]2)=O)cc(c1Cl)C,MOSES sample,1307,331.759,23,87.99,2.33682,4,3
N(C(Nc1c2OCOc2ccc1)=O)c1cccc(C#N)c1,MOSES sample,1308,281.271,21,83.38,2.93098,2,3
C(C(c1c(C[nH]c(c1)C)=O)=O)Sc1n(cnn1)C,MOSES sample,1309,,,,,,
c1cc(cc(OC)c1C(=O)NCC(C)(C)c1ccncc1)SC,MOSES sample,1310,330.453,23,51.22,3.5197,6,2
O(c1ccc(F)cc1)CC(NCc1c(onc1CC)CC)=O,MOSES sample,1311,306.337,22,64.36,2.6337,7,2
c1cc(C(=O)NCCCOc2cccc3c2nccc3)ccc1,MOSES sample,1312,306.365,23,51.22,3.4337,6,3
C(NC)(CCCN(C)C(=O)c1ccc(cc1)C(F)(F)F)=O,MOSES sample,1313,302.296,21,49.41,2.3036,5,1
FC(F)(C(N)c1cc(c(Br)cc1)OC)F,MOSES sample,1314,284.075,15,35.25,3.0198,2,1
c1cc(-c2cc(C(N3C(CCCC3C)C)=O)on2)ccc1,MOSES sample,1315,284.359,21,46.34,3.7447,2,3
CC(C)CCNC(=O)CNc1cc(F)c(F)cc1F,MOSES sample,1316,274.286,19,41.13,2.6781,6,1
c1cc2OCC(NS(c3cccs3)(=O)=O)c2cc1,MOSES sample,1317,281.358,18,55.4,2.1601,3,3
Cc1c(onc1CC)NC(N1CCC(C(c2ccccc2)O)CC1)=O,MOSES sample,1318,343.427,25,78.6,3.52292,4,3
C1CCOC1C(NC(CSc1nnc(n1N)C(F)(F)F)=O)C,MOSES sample,1319,339.343,22,95.06,0.7865,5,2
n1c(c(=O)[nH]c2c1cc(cc2)C(N(C1CCCCC1)CC)=O)C,MOSES sample,1320,313.401,23,66.06,3.02632,3,3
c1c(ccc(C)c1Cl)S(N(C)C(c1ccccn1)C#N)(=O)=O,MOSES sample,1321,335.816,22,74.06,2.9288,4,2
n1c(-c2cccc(C)c2)noc1CCC(Nc1c(c(F)ccc1)C#N)=O,MOSES sample,1322,350.353,26,91.81,3.6271,5,3
CCNC(c1c(C)nc(N)nc1C1c2c(cccc2)CCC1)=O,MOSES sample,1323,310.401,23,80.9,2.58512,3,3
c1(C)oc(CNC(=O)CSc2ccc(C)cc2)cc1,MOSES sample,1324,275.373,19,42.24,3.30494,5,2
c1ccnc2c(cccc12)OCC(=O)Nc1c(F)ccc(c1)F,MOSES sample,1325,314.291,23,51.22,3.5305,4,3
CN1CC(C(N2CCN(CC2)Cc2ccccc2)=O)CC1=O,MOSES sample,1326,301.39,22,43.86,0.8091,3,3
COc1cccc(C(=O)OCc2cc(=O)n3cccc(C)c3n2)c1F,MOSES sample,1327,342.326,25,69.9,2.50762,4,3
c1ccccc1CNC(=O)COc1ccc(cc1N)OC,MOSES sample,1328,286.331,21,73.58,1.9726,6,2
c1cnc(cn1)N1CCC2C(CCCO2)(C1)COCC,MOSES sample,1329,277.368,20,47.48,1.8886,4,3
N(C1CCCN(C1)C(=O)OC(C)(C)C)(CC#C)CC#C,MOSES sample,1330,276.38,20,32.78,1.9543,3,1
COC(=O)C1CC(O)CN1Cc1ccc(C(F)(F)F)c(F)c1,MOSES sample,1331,321.27,22,49.77,1.9527,3,2
C1CC(CCO1)N1C(CC(C1)C(NCCc1[nH]c2c(n1)cccc2)=O)=O,MOSES sample,1332,356.426,26,87.32,1.2491,5,4
CC(NC(=O)CN(CC)C(=O)CSc1ccc(c(c1)F)F)(C)C,MOSES sample,1333,344.427,23,49.41,2.8201,6,1
C(CNC(=O)C(S(=O)(c1ccc(cc1)OC)=O)C)CC,MOSES sample,1334,299.392,20,72.47,1.7737,7,1
CC(=O)c1c(C)[nH]c(C(=O)Nc2ccnc3ccnn23)c1C,MOSES sample,1335,297.318,22,92.15,2.12914,3,3
O=C(c1ccncc1)N1CCC(c2cnccn2)CC1,MOSES sample,1336,268.32,20,58.98,1.8914,2,3
c1(ccc(cc1)C(=O)OCC)NCC(c1ccccc1)O,MOSES sample,1337,285.343,21,58.56,3.0088,6,2
O(C)c1cc(-c2nn3c(nnc3CCC)s2)cc(c1OC)N,MOSES sample,1338,319.39,22,87.56,2.4047,5,3
C1(N(c2c(cccc2)CC)CC(C(=O)N2CCc3c2cccc3)C1)=O,MOSES sample,1339,334.419,25,40.62,3.1912,3,4
C1OCCN(C1)C(c1ccc2c([nH]c([nH]2)=O)c1)C(C)C,MOSES sample,1340,275.352,20,61.12,1.8855,3,3
c1(-c2c3c(CCN(S(=O)(C)=O)C3)on2)ccc(CC)cc1,MOSES sample,1341,306.387,21,63.41,2.2217,3,3
O=C(c1ccc(cc1)S(=O)(=O)N(c1c(C)cccc1C)C)N,MOSES sample,1342,318.398,22,80.47,2.22744,4,2
c1(n(C2CC2)nnn1)SCC(=O)NC(CC)C,MOSES sample,1343,255.347,17,72.7,1.0148,6,2
NC(=O)c1cc(Cl)ccc1NCC(=O)NC1CC1,MOSES sample,1344,267.716,18,84.22,1.1294,5,2
c1cccc(c1CNC(=O)c1c(ccc(C)c1)O)OC,MOSES sample,1345,271.316,20,58.56,2.63922,4,2
c1c(ccc(c1F)NC(C)=O)NC(CCCn1ncnc1)=O,MOSES sample,1346,305.313,22,88.91,1.7945,6,2
Cc1noc(C)c1CN1CCN(C(=O)C2CC2)CC1,MOSES sample,1347,263.341,19,49.58,1.34564,3,3
N(C1CCCc2cn(nc12)CCOC)C(c1sccc1)=O,MOSES sample,1348,305.403,21,56.15,2.3984,5,3
c1c(cccc1NC(=O)c1ccc(N(C)C)cc1)C#C,MOSES sample,1349,264.328,20,32.34,2.9862,3,2
N#CC(CC(=O)NCCc1ccccc1)c1ccco1,MOSES sample,1350,268.316,20,66.03,2.63578,6,2
c1cc(ccn1)C(C)NC(=O)c1c(ccc(-n2cccc2)c1)Cl,MOSES sample,1351,325.799,23,46.92,4.0167,4,3
O=C(c1c(cccc1F)F)NC(Cc1ccc(cc1)Cl)CO,MOSES sample,1352,325.742,22,49.33,2.9516,5,2
Oc1ccc(S(C(C(OC)=O)c2ccccc2)=O)cc1,MOSES sample,1353,290.34,20,63.6,2.4141,4,2
C(C)Oc1cc(ccc1)NCC(=O)Nc1c(cccc1)C(C)=O,MOSES sample,1354,312.369,23,67.43,3.3385,7,2
c1ccc(OCC(O)CNc2nccnc2C#N)c2c1cccc2,MOSES sample,1355,320.352,24,91.06,2.35328,6,3
C(OCc1cccc(c1)CNC(c1ccc(=O)n(c1)C)=O)C,MOSES sample,1356,300.358,22,60.33,1.8518,6,2
c1(nc(ccc1)C)Nc1nccnc1C1CN(C(=O)C)CCC1,MOSES sample,1357,311.389,23,71.01,2.64952,3,3
Cc1cc(=O)[nH]c(-c2ccc(NC(=O)c3cc(C)n(C4CC4)c3C)cc2)n1,MOSES sample,1358,362.433,27,79.78,3.75086,4,4
c12c(=O)n(C)c3c(c2cc(cc1)C)oc(N)c(C(C)=O)c3=O,MOSES sample,1359,298.298,22,95.3,1.73812,1,3
C(c1ccnn1C)NC(=O)NCCOCC(C)C,MOSES sample,1360,254.334,18,68.18,0.8919,7,1
C1OC(CC1)C(=O)NC(Cc1c2ccccc2[nH]c1)C(=O)OC,MOSES sample,1361,316.357,23,80.42,1.5472,5,3
FC(CC(Oc1ccc(cc1)NC(=O)C1CC1)=O)(F)F,MOSES sample,1362,287.237,20,55.4,2.8929,4,2
c1(CNC(NC(C)c2c(C)cccc2)=O)nc(C)ccc1,MOSES sample,1363,283.375,21,54.02,3.25884,4,2
c1c(NCC(N2CCc3c2cccc3)=O)ccc(c1)C(=O)N,MOSES sample,1364,295.342,22,75.43,1.7867,4,3
C1CC(c2ccccc2C1)NC(=O)c1cccc(OCC(N)=O)c1,MOSES sample,1365,324.38,24,81.42,2.3581,5,3
CCOC(c1cccc(S(NCc2cocc2)(=O)=O)c1)=O,MOSES sample,1366,309.343,21,85.61,1.9348,6,2
CCCc1nc(NCC2CCCO2)c(N)c(OCC)n1,MOSES sample,1367,280.372,20,82.29,2.0009,7,2
C(NC(Cn1nccc1)C)(Nc1sc(nn1)-c1ccccc1)=O,MOSES sample,1368,328.401,23,84.73,2.6118,5,3
C(COc1c(NCc2ccc(cc2)C(N)=O)cccc1)C,MOSES sample,1369,284.359,21,64.35,3.1864,7,2
CCOC(=O)c1cc2c(=O)n(-c3ccc(C)cc3)ccn2n1,MOSES sample,1370,297.314,22,65.6,1.97032,3,3
N(C(C)C(NC(C)CC)=O)C(=O)Nc1cc2c(n(C)c(=O)o2)cc1,MOSES sample,1371,334.376,24,105.37,1.5562,5,2
COc1ccc(N2CC(C(=O)NCC(F)(F)F)CC2=O)cc1OC,MOSES sample,1372,346.305,24,67.87,1.7352,5,2
OC(c1cnccc1)CCc1ccc(OC)c(c1)C,MOSES sample,1373,257.333,19,42.35,3.06482,5,2
c12c(ccc(c2)N)OC(C(N1Cc1cc(ccc1)OC)=O)(CC)CC,MOSES sample,1374,340.423,25,64.79,3.7618,5,3
Cc1ccc(Cc2nc3cc(N)ccc3[nH]2)cc1C,MOSES sample,1375,251.333,19,54.7,3.35274,2,3
c1c2c(ccc1)oc(C(=O)NCc1nnc(n1C)C(C)C)c2,MOSES sample,1376,298.346,22,72.95,2.6147,4,3
c1(C(NCC(Nc2c(cccc2)F)=O)=O)nccnc1,MOSES sample,1377,274.255,20,83.98,0.9842,4,2
C1(CN(C1)S(=O)(=O)CCCC)C(=O)Nc1cc(nn1C)C,MOSES sample,1378,314.411,21,84.3,0.72872,6,2
Cc1c(C(=O)Nc2nnc(C3CC3)s2)oc2c(C)cccc12,MOSES sample,1379,313.382,22,68.02,4.03084,3,4
O=C(OCC(N1CCCCCC1)=O)c1cccn1C,MOSES sample,1380,264.325,19,51.54,1.5845,3,2
c1c(ncc(C(=O)NC(c2occc2)C)c1)OCC(F)F,MOSES sample,1381,296.273,21,64.36,2.8095,6,2
CCN(C(CSc1[nH]c2ccc(cc2n1)C)=O)CC,MOSES sample,1382,277.393,19,48.99,2.83182,5,2
c1c(ccc(c1F)F)C(NC(=O)NCCNC(=O)OC(C)(C)C)C,MOSES sample,1383,343.374,24,79.46,2.8497,5,1
c1cc(ccc1)C(=O)C(NC(=O)NCC(=O)OC)C,MOSES sample,1384,264.281,19,84.5,0.73,5,1
c1(onc(CC)n1)COc1ccc2c(COC2)c1,MOSES sample,1385,246.266,18,57.38,2.2412,4,3
C(=Cc1ccccn1)c1cc(NC(=O)c2csnc2C)ccc1,MOSES sample,1386,321.405,23,54.88,4.26922,4,3
c12c(CCN(C1)C(c1sccc1C)=O)c(ccc2)NC(C)=O,MOSES sample,1387,314.41,22,49.41,3.21342,2,3
CC(Oc1ccccc1)C(=O)N1CCN(c2ncccn2)CC1,MOSES sample,1388,312.373,23,58.56,1.5927,4,3
N#Cc1cc(-c2c(OC)cc(C)c(C)c2C)[nH]c1N,MOSES sample,1389,255.321,19,74.83,3.06944,2,2
CCOC1CN(C(=O)Nc2cc(OC)ccc2F)CCC1,MOSES sample,1390,296.342,21,50.8,2.8671,4,2
c1(OC)cc(nn1C)C(Nc1oc(nn1)-c1csc(C)n1)=O,MOSES sample,1391,320.334,22,107.96,1.49592,4,3
COc1ccc(Cl)cc1NC(=O)CC(C#N)c1ccccn1,MOSES sample,1392,315.76,22,75.01,3.37958,5,2
c12c(C(=O)N3CCC(Cc4nn(C)c(=O)n4CC)CC3)[nH]nc1CCC2,MOSES sample,1393,358.446,26,88.81,0.9084,4,4
c1cc(c(c(F)c1)F)NCc1nc(cs1)C(F)(F)F,MOSES sample,1394,294.248,19,24.92,4.0522,3,2
C(c1nc(c(C(=O)Nc2nc(cs2)C)cn1)N)C(C)C,MOSES sample,1395,291.38,20,93.79,2.27452,4,2
c1ccnc(n1)-c1sc(C(=O)Nc2ccc3c(c2)COC3)c(C)n1,MOSES sample,1396,338.392,24,77,3.19102,3,4
FC(Oc1c(scc1)C(N1CCN(C(C)=O)CC1)=O)F,MOSES sample,1397,304.318,20,49.85,1.6538,3,2
C(OC)(c1cc(c(NCC(CC)(O)C)c(c1)F)F)=O,MOSES sample,1398,273.279,19,58.56,2.3243,5,1
c1ccc(cc1NC(=O)Cc1nc2c(c([nH]1)=O)c1CCCc1s2)F,MOSES sample,1399,343.383,24,74.85,2.7936,3,4
c1(cccc(C)c1)Cc1nn(c(c2ccccc21)=O)CC(=O)NC,MOSES sample,1400,321.38,24,63.99,2.04172,4,3
s1c(nc2c1cc(N)cc2)-c1cc(cc(c1)O)F,MOSES sample,1401,260.293,18,59.14,3.3902,1,3
O=C(Cn1nc(N2CCOCC2)ccc1=O)Nc1ccccc1O,MOSES sample,1402,330.344,24,96.69,0.4242,4,3
C1(NC2(CCOCC2)c2c1cc(-c1cccnc1)cc2)=O,MOSES sample,1403,280.327,21,51.22,2.4977,1,4
Cc1cc(CN(C)C(=O)NCCCc2c(C)noc2C)no1,MOSES sample,1404,306.366,22,84.4,2.36206,6,2
c12cc(c(=O)[nH]c1cc(C)cc2C)CNc1cc(ccc1OC)OC,MOSES sample,1405,338.407,25,63.35,3.77424,5,3
C1CN(CC(N2C(COCC2)C)=O)C(=O)N1Cc1ccccc1,MOSES sample,1406,317.389,23,53.09,1.1715,4,3
C1C(C2CC2)N(CCO1)C(=O)c1cccc(c1F)F,MOSES sample,1407,267.275,19,29.54,2.2158,2,3
S(=O)(c1cc(c(F)cc1)NC(=O)C(C)OCC)(N)=O,MOSES sample,1408,290.316,19,98.49,0.8366,5,1
c1c2c(cc(CCN(Cc3ccc(C(=O)N(C)C)[nH]3)C)o2)ccc1,MOSES sample,1409,325.412,24,52.48,3.1372,6,3
c1n(ncc1)Cc1ccc(cc1)CNC(=O)Nc1sc(nn1)CC,MOSES sample,1410,342.428,24,84.73,2.667,6,3
c1ccnc(COc2ccc(NC(=O)c3nn4c(C)ccnc4n3)cc2)c1,MOSES sample,1411,360.377,27,94.3,2.65902,5,4
C1CC(CC(N2CCC3(C(=O)NC3)CC2)=O)(C)CC1,MOSES sample,1412,264.369,19,49.41,1.6954,2,3
